Type,Year,Sex,Age,Population
est7,2010,Both,0to4,20188773
est7,2010,Male,0to4,10312641
est7,2010,Female,0to4,9876132
est7,2011,Both,0to4,20122646
est7,2011,Male,0to4,10279680
est7,2011,Female,0to4,9842966
est7,2012,Both,0to4,19975163
est7,2012,Male,0to4,10204076
est7,2012,Female,0to4,9771087
est7,2013,Both,0to4,19847941
est7,2013,Male,0to4,10141030
est7,2013,Female,0to4,9706911
est7,2014,Both,0to4,19870818
est7,2014,Male,0to4,10158757
est7,2014,Female,0to4,9712061
est7,2015,Both,0to4,19915730
est7,2015,Male,0to4,10185334
est7,2015,Female,0to4,9730396
est7,2016,Both,0to4,19919577
est7,2016,Male,0to4,10185106
est7,2016,Female,0to4,9734471
est7,2017,Both,0to4,19938860
est7,2017,Male,0to4,10195968
est7,2017,Female,0to4,9742892
est7,2010,Both,5to9,20331148
est7,2010,Male,5to9,10380281
est7,2010,Female,5to9,9950867
est7,2011,Both,5to9,20332792
est7,2011,Male,5to9,10381510
est7,2011,Female,5to9,9951282
est7,2012,Both,5to9,20467414
est7,2012,Male,5to9,10451844
est7,2012,Female,5to9,10015570
est7,2013,Both,5to9,20567771
est7,2013,Male,5to9,10502801
est7,2013,Female,5to9,10064970
est7,2014,Both,5to9,20515383
est7,2014,Male,5to9,10474907
est7,2014,Female,5to9,10040476
est7,2015,Both,5to9,20475944
est7,2015,Male,5to9,10453297
est7,2015,Female,5to9,10022647
est7,2016,Both,5to9,20429504
est7,2016,Male,5to9,10431307
est7,2016,Female,5to9,9998197
est7,2017,Both,5to9,20304238
est7,2017,Male,5to9,10368141
est7,2017,Female,5to9,9936097
est7,2010,Both,10to14,20680725
est7,2010,Male,10to14,10578235
est7,2010,Female,10to14,10102490
est7,2011,Both,10to14,20714211
est7,2011,Male,10to14,10587444
est7,2011,Female,10to14,10126767
est7,2012,Both,10to14,20671622
est7,2012,Male,10to14,10561060
est7,2012,Female,10to14,10110562
est7,2013,Both,10to14,20653748
est7,2013,Male,10to14,10545471
est7,2013,Female,10to14,10108277
est7,2014,Both,10to14,20669496
est7,2014,Male,10to14,10548588
est7,2014,Female,10to14,10120908
est7,2015,Both,10to14,20610350
est7,2015,Male,10to14,10514773
est7,2015,Female,10to14,10095577
est7,2016,Both,10to14,20627202
est7,2016,Male,10to14,10525144
est7,2016,Female,10to14,10102058
est7,2017,Both,10to14,20778454
est7,2017,Male,10to14,10605072
est7,2017,Female,10to14,10173382
est7,2010,Both,15to19,21981324
est7,2010,Male,15to19,11278027
est7,2010,Female,15to19,10703297
est7,2011,Both,15to19,21660368
est7,2011,Male,15to19,11120519
est7,2011,Female,15to19,10539849
est7,2012,Both,15to19,21373098
est7,2012,Male,15to19,10962668
est7,2012,Female,15to19,10410430
est7,2013,Both,15to19,21183401
est7,2013,Male,15to19,10850873
est7,2013,Female,15to19,10332528
est7,2014,Both,15to19,21060374
est7,2014,Male,15to19,10778306
est7,2014,Female,15to19,10282068
est7,2015,Both,15to19,21094434
est7,2015,Male,15to19,10789964
est7,2015,Female,15to19,10304470
est7,2016,Both,15to19,21151384
est7,2016,Male,15to19,10812867
est7,2016,Female,15to19,10338517
est7,2017,Both,15to19,21131660
est7,2017,Male,15to19,10800491
est7,2017,Female,15to19,10331169
est7,2010,Both,20to24,21701999
est7,2010,Male,20to24,11072538
est7,2010,Female,20to24,10629461
est7,2011,Both,20to24,22162379
est7,2011,Male,20to24,11305299
est7,2011,Female,20to24,10857080
est7,2012,Both,20to24,22591609
est7,2012,Male,20to24,11545676
est7,2012,Female,20to24,11045933
est7,2013,Both,20to24,22819684
est7,2013,Male,20to24,11684225
est7,2013,Female,20to24,11135459
est7,2014,Both,20to24,22883014
est7,2014,Male,20to24,11730341
est7,2014,Female,20to24,11152673
est7,2015,Both,20to24,22686787
est7,2015,Male,20to24,11645664
est7,2015,Female,20to24,11041123
est7,2016,Both,20to24,22384013
est7,2016,Male,20to24,11497255
est7,2016,Female,20to24,10886758
est7,2017,Both,20to24,22118635
est7,2017,Male,20to24,11349142
est7,2017,Female,20to24,10769493
est7,2010,Both,25to29,21143850
est7,2010,Male,25to29,10661261
est7,2010,Female,25to29,10482589
est7,2011,Both,25to29,21285944
est7,2011,Male,25to29,10747392
est7,2011,Female,25to29,10538552
est7,2012,Both,25to29,21394399
est7,2012,Male,25to29,10826701
est7,2012,Female,25to29,10567698
est7,2013,Both,25to29,21582962
est7,2013,Male,25to29,10940980
est7,2013,Female,25to29,10641982
est7,2014,Both,25to29,21967377
est7,2014,Male,25to29,11153828
est7,2014,Female,25to29,10813549
est7,2015,Both,25to29,22426168
est7,2015,Male,25to29,11399223
est7,2015,Female,25to29,11026945
est7,2016,Both,25to29,22931428
est7,2016,Male,25to29,11663803
est7,2016,Female,25to29,11267625
est7,2017,Both,25to29,23370460
est7,2017,Male,25to29,11902230
est7,2017,Female,25to29,11468230
est7,2010,Both,30to34,20069509
est7,2010,Male,30to34,10052038
est7,2010,Female,30to34,10017471
est7,2011,Both,30to34,20521483
est7,2011,Male,30to34,10276926
est7,2011,Female,30to34,10244557
est7,2012,Both,30to34,20920682
est7,2012,Male,30to34,10485746
est7,2012,Female,30to34,10434936
est7,2013,Both,30to34,21285841
est7,2013,Male,30to34,10675909
est7,2013,Female,30to34,10609932
est7,2014,Both,30to34,21523945
est7,2014,Male,30to34,10804802
est7,2014,Female,30to34,10719143
est7,2015,Both,30to34,21654323
est7,2015,Male,30to34,10881471
est7,2015,Female,30to34,10772852
est7,2016,Both,30to34,21841499
est7,2016,Male,30to34,11000534
est7,2016,Female,30to34,10840965
est7,2017,Both,30to34,21972212
est7,2017,Male,30to34,11089131
est7,2017,Female,30to34,10883081
est7,2010,Both,35to39,20079285
est7,2010,Male,35to39,9992821
est7,2010,Female,35to39,10086464
est7,2011,Both,35to39,19607751
est7,2011,Male,35to39,9759719
est7,2011,Female,35to39,9848032
est7,2012,Both,35to39,19507108
est7,2012,Male,35to39,9713014
est7,2012,Female,35to39,9794094
est7,2013,Both,35to39,19628869
est7,2013,Male,35to39,9784188
est7,2013,Female,35to39,9844681
est7,2014,Both,35to39,19904676
est7,2014,Male,35to39,9928929
est7,2014,Female,35to39,9975747
est7,2015,Both,35to39,20343383
est7,2015,Male,35to39,10158839
est7,2015,Female,35to39,10184544
est7,2016,Both,35to39,20819289
est7,2016,Male,35to39,10401082
est7,2016,Female,35to39,10418207
est7,2017,Both,35to39,21231997
est7,2017,Male,35to39,10615985
est7,2017,Female,35to39,10616012
est7,2010,Both,40to44,20905418
est7,2010,Male,40to44,10400396
est7,2010,Female,40to44,10505022
est7,2011,Both,40to44,21046162
est7,2011,Male,40to44,10463000
est7,2011,Female,40to44,10583162
est7,2012,Both,40to44,21041294
est7,2012,Male,40to44,10458184
est7,2012,Female,40to44,10583110
est7,2013,Both,40to44,20871216
est7,2013,Male,40to44,10362391
est7,2013,Female,40to44,10508825
est7,2014,Both,40to44,20569647
est7,2014,Male,40to44,10206983
est7,2014,Female,40to44,10362664
est7,2015,Both,40to44,20180005
est7,2015,Male,40to44,10013348
est7,2015,Female,40to44,10166657
est7,2016,Both,40to44,19732444
est7,2016,Male,40to44,9795213
est7,2016,Female,40to44,9937231
est7,2017,Both,40to44,19643373
est7,2017,Male,40to44,9753115
est7,2017,Female,40to44,9890258
est7,2010,Both,45to49,22636945
est7,2010,Male,45to49,11176036
est7,2010,Female,45to49,11460909
est7,2011,Both,45to49,22172258
est7,2011,Male,45to49,10955465
est7,2011,Female,45to49,11216793
est7,2012,Both,45to49,21703579
est7,2012,Male,45to49,10729242
est7,2012,Female,45to49,10974337
est7,2013,Both,45to49,21231910
est7,2013,Male,45to49,10505580
est7,2013,Female,45to49,10726330
est7,2014,Both,45to49,20859479
est7,2014,Male,45to49,10330259
est7,2014,Female,45to49,10529220
est7,2015,Both,45to49,20812701
est7,2015,Male,45to49,10313204
est7,2015,Female,45to49,10499497
est7,2016,Both,45to49,20967634
est7,2016,Male,45to49,10385031
est7,2016,Female,45to49,10582603
est7,2017,Both,45to49,20973858
est7,2017,Male,45to49,10386175
est7,2017,Female,45to49,10587683
est7,2010,Both,50to54,22353235
est7,2010,Male,50to54,10960154
est7,2010,Female,50to54,11393081
est7,2011,Both,50to54,22572766
est7,2011,Male,50to54,11070150
est7,2011,Female,50to54,11502616
est7,2012,Both,50to54,22588483
est7,2012,Male,50to54,11081356
est7,2012,Female,50to54,11507127
est7,2013,Both,50to54,22571776
est7,2013,Male,50to54,11073789
est7,2013,Female,50to54,11497987
est7,2014,Both,50to54,22544596
est7,2014,Male,50to54,11062739
est7,2014,Female,50to54,11481857
est7,2015,Both,50to54,22297094
est7,2015,Male,50to54,10944822
est7,2015,Female,50to54,11352272
est7,2016,Both,50to54,21851429
est7,2016,Male,50to54,10736110
est7,2016,Female,50to54,11115319
est7,2017,Both,50to54,21401094
est7,2017,Male,50to54,10520182
est7,2017,Female,50to54,10880912
est7,2010,Both,55to59,19795132
est7,2010,Male,55to59,9587694
est7,2010,Female,55to59,10207438
est7,2011,Both,55to59,20263779
est7,2011,Male,55to59,9817321
est7,2011,Female,55to59,10446458
est7,2012,Both,55to59,20780173
est7,2012,Male,55to59,10070218
est7,2012,Female,55to59,10709955
est7,2013,Both,55to59,21193629
est7,2013,Male,55to59,10278821
est7,2013,Female,55to59,10914808
est7,2014,Both,55to59,21486936
est7,2014,Male,55to59,10430117
est7,2014,Female,55to59,11056819
est7,2015,Both,55to59,21771220
est7,2015,Male,55to59,10578150
est7,2015,Female,55to59,11193070
est7,2016,Both,55to59,21987314
est7,2016,Male,55to59,10686439
est7,2016,Female,55to59,11300875
est7,2017,Both,55to59,22007956
est7,2017,Male,55to59,10700520
est7,2017,Female,55to59,11307436
est7,2010,Both,60to64,16990185
est7,2010,Male,60to64,8158439
est7,2010,Female,60to64,8831746
est7,2011,Both,60to64,17817541
est7,2011,Male,60to64,8545411
est7,2011,Female,60to64,9272130
est7,2012,Both,60to64,17820260
est7,2012,Male,60to64,8536000
est7,2012,Female,60to64,9284260
est7,2013,Both,60to64,18123062
est7,2013,Male,60to64,8670132
est7,2013,Female,60to64,9452930
est7,2014,Both,60to64,18549670
est7,2014,Male,60to64,8865942
est7,2014,Female,60to64,9683728
est7,2015,Both,60to64,19043163
est7,2015,Male,60to64,9100758
est7,2015,Female,60to64,9942405
est7,2016,Both,60to64,19490888
est7,2016,Male,60to64,9316659
est7,2016,Female,60to64,10174229
est7,2017,Both,60to64,19987702
est7,2017,Male,60to64,9557283
est7,2017,Female,60to64,10430419
est7,2010,Both,65to69,12521388
est7,2010,Male,65to69,5895153
est7,2010,Female,65to69,6626235
est7,2011,Both,65to69,12882840
est7,2011,Male,65to69,6075047
est7,2011,Female,65to69,6807793
est7,2012,Both,65to69,13988453
est7,2012,Male,65to69,6610935
est7,2012,Female,65to69,7377518
est7,2013,Both,65to69,14604632
est7,2013,Male,65to69,6907420
est7,2013,Female,65to69,7697212
est7,2014,Both,65to69,15314484
est7,2014,Male,65to69,7242430
est7,2014,Female,65to69,8072054
est7,2015,Both,65to69,16054007
est7,2015,Male,65to69,7587158
est7,2015,Female,65to69,8466849
est7,2016,Both,65to69,16829553
est7,2016,Male,65to69,7940200
est7,2016,Female,65to69,8889353
est7,2017,Both,65to69,16836381
est7,2017,Male,65to69,7929868
est7,2017,Female,65to69,8906513
est7,2010,Both,70to74,9336656
est7,2010,Male,70to74,4273458
est7,2010,Female,70to74,5063198
est7,2011,Both,70to74,9610306
est7,2011,Male,70to74,4404187
est7,2011,Female,70to74,5206119
est7,2012,Both,70to74,10016953
est7,2012,Male,70to74,4599423
est7,2012,Female,70to74,5417530
est7,2013,Both,70to74,10608695
est7,2013,Male,70to74,4880896
est7,2013,Female,70to74,5727799
est7,2014,Both,70to74,11070596
est7,2014,Male,70to74,5096615
est7,2014,Female,70to74,5973981
est7,2015,Both,70to74,11478113
est7,2015,Male,70to74,5291620
est7,2015,Female,70to74,6186493
est7,2016,Both,70to74,11816452
est7,2016,Male,70to74,5456249
est7,2016,Female,70to74,6360203
est7,2017,Both,70to74,12847065
est7,2017,Male,70to74,5947272
est7,2017,Female,70to74,6899793
est7,2010,Both,75to79,7320211
est7,2010,Male,75to79,3186860
est7,2010,Female,75to79,4133351
est7,2011,Both,75to79,7389275
est7,2011,Male,75to79,3232843
est7,2011,Female,75to79,4156432
est7,2012,Both,75to79,7494365
est7,2012,Male,75to79,3293712
est7,2012,Female,75to79,4200653
est7,2013,Both,75to79,7682176
est7,2013,Male,75to79,3390548
est7,2013,Female,75to79,4291628
est7,2014,Both,75to79,7920143
est7,2014,Male,75to79,3509642
est7,2014,Female,75to79,4410501
est7,2015,Both,75to79,8120431
est7,2015,Male,75to79,3608534
est7,2015,Female,75to79,4511897
est7,2016,Both,75to79,8374755
est7,2016,Male,75to79,3727079
est7,2016,Female,75to79,4647676
est7,2017,Both,75to79,8741261
est7,2017,Male,75to79,3898816
est7,2017,Female,75to79,4842445
est7,2010,Both,80to84,5759504
est7,2010,Male,80to84,2306897
est7,2010,Female,80to84,3452607
est7,2011,Both,80to84,5779887
est7,2011,Male,80to84,2335962
est7,2011,Female,80to84,3443925
est7,2012,Both,80to84,5780440
est7,2012,Male,80to84,2355738
est7,2012,Female,80to84,3424702
est7,2013,Both,80to84,5762982
est7,2013,Male,80to84,2366626
est7,2013,Female,80to84,3396356
est7,2014,Both,80to84,5757488
est7,2014,Male,80to84,2379832
est7,2014,Female,80to84,3377656
est7,2015,Both,80to84,5797402
est7,2015,Male,80to84,2411509
est7,2015,Female,80to84,3385893
est7,2016,Both,80to84,5869693
est7,2016,Male,80to84,2455891
est7,2016,Female,80to84,3413802
est7,2017,Both,80to84,5965290
est7,2017,Male,80to84,2509059
est7,2017,Female,80to84,3456231
est7,2010,Both,85plus,5543134
est7,2010,Male,85plus,1810064
est7,2010,Female,85plus,3733070
est7,2011,Both,85plus,5701892
est7,2011,Male,85plus,1884335
est7,2011,Female,85plus,3817557
est7,2012,Both,85plus,5878177
est7,2012,Male,85plus,1966755
est7,2012,Female,85plus,3911422
est7,2013,Both,85plus,6014210
est7,2013,Male,85plus,2035140
est7,2013,Female,85plus,3979070
est7,2014,Both,85plus,6154403
est7,2014,Male,85plus,2104402
est7,2014,Female,85plus,4050001
est7,2015,Both,85plus,6278584
est7,2015,Male,85plus,2170485
est7,2015,Female,85plus,4108099
est7,2016,Both,85plus,6381877
est7,2016,Male,85plus,2227848
est7,2016,Female,85plus,4154029
est7,2017,Both,85plus,6468682
est7,2017,Male,85plus,2279669
est7,2017,Female,85plus,4189013
