YEAR,USA
1/1/1991,100.00
2/1/1991,100.43
3/1/1991,100.72
4/1/1991,100.71
5/1/1991,100.87
6/1/1991,101.39
7/1/1991,101.32
8/1/1991,101.27
9/1/1991,101.38
10/1/1991,101.61
11/1/1991,102.11
12/1/1991,102.17
1/1/1992,102.25
2/1/1992,102.95
3/1/1992,103.04
4/1/1992,102.95
5/1/1992,103.13
6/1/1992,103.49
7/1/1992,103.75
8/1/1992,104.33
9/1/1992,104.57
10/1/1992,104.76
11/1/1992,105.01
12/1/1992,104.59
1/1/1993,104.34
2/1/1993,104.04
3/1/1993,104.66
4/1/1993,105.52
5/1/1993,105.88
6/1/1993,106.67
7/1/1993,106.68
8/1/1993,107.13
9/1/1993,107.35
10/1/1993,107.49
11/1/1993,107.67
12/1/1993,107.86
1/1/1994,107.81
2/1/1994,107.95
3/1/1994,108.68
4/1/1994,109.26
5/1/1994,109.82
6/1/1994,110.43
7/1/1994,110.53
8/1/1994,110.86
9/1/1994,110.73
10/1/1994,110.79
11/1/1994,110.92
12/1/1994,110.59
1/1/1995,110.67
2/1/1995,111.10
3/1/1995,111.38
4/1/1995,111.84
5/1/1995,112.23
6/1/1995,113.04
7/1/1995,113.56
8/1/1995,113.90
9/1/1995,113.80
10/1/1995,113.69
11/1/1995,113.74
12/1/1995,113.87
1/1/1996,113.99
2/1/1996,114.14
3/1/1996,114.92
4/1/1996,115.55
5/1/1996,116.15
6/1/1996,116.66
7/1/1996,117.08
8/1/1996,117.05
9/1/1996,117.02
10/1/1996,116.89
11/1/1996,117.00
12/1/1996,117.00
1/1/1997,116.86
2/1/1997,117.13
3/1/1997,118.08
4/1/1997,118.60
5/1/1997,119.42
6/1/1997,119.87
7/1/1997,120.18
8/1/1997,120.58
9/1/1997,120.33
10/1/1997,120.75
11/1/1997,120.90
12/1/1997,120.98
1/1/1998,121.09
2/1/1998,121.97
3/1/1998,122.85
4/1/1998,123.75
5/1/1998,124.67
6/1/1998,125.87
7/1/1998,126.13
8/1/1998,126.65
9/1/1998,127.10
10/1/1998,127.35
11/1/1998,127.91
12/1/1998,128.13
1/1/1999,128.59
2/1/1999,129.11
3/1/1999,130.14
4/1/1999,131.14
5/1/1999,132.38
6/1/1999,133.44
7/1/1999,134.12
8/1/1999,134.87
9/1/1999,134.91
10/1/1999,135.52
11/1/1999,135.70
12/1/1999,135.96
1/1/2000,137.29
2/1/2000,137.09
3/1/2000,138.65
4/1/2000,139.95
5/1/2000,141.10
6/1/2000,142.52
7/1/2000,143.24
8/1/2000,143.68
9/1/2000,144.29
10/1/2000,144.81
11/1/2000,145.26
12/1/2000,145.65
1/1/2001,146.33
2/1/2001,147.26
3/1/2001,148.62
4/1/2001,149.84
5/1/2001,151.09
6/1/2001,152.34
7/1/2001,153.20
8/1/2001,153.79
9/1/2001,154.33
10/1/2001,154.94
11/1/2001,154.89
12/1/2001,155.41
1/1/2002,155.99
2/1/2002,156.85
3/1/2002,158.42
4/1/2002,159.72
5/1/2002,161.45
6/1/2002,163.01
7/1/2002,164.08
8/1/2002,164.99
9/1/2002,165.75
10/1/2002,166.47
11/1/2002,166.87
12/1/2002,167.55
1/1/2003,168.11
2/1/2003,169.20
3/1/2003,170.39
4/1/2003,171.97
5/1/2003,173.62
6/1/2003,175.05
7/1/2003,176.37
8/1/2003,177.52
9/1/2003,178.67
10/1/2003,179.25
11/1/2003,179.99
12/1/2003,180.91
1/1/2004,181.52
2/1/2004,182.97
3/1/2004,184.97
4/1/2004,187.14
5/1/2004,189.81
6/1/2004,192.38
7/1/2004,193.99
8/1/2004,195.24
9/1/2004,196.33
10/1/2004,197.20
11/1/2004,198.33
12/1/2004,199.28
1/1/2005,200.03
2/1/2005,201.73
3/1/2005,204.64
4/1/2005,207.19
5/1/2005,209.88
6/1/2005,212.37
7/1/2005,214.36
8/1/2005,215.88
9/1/2005,217.35
10/1/2005,217.85
11/1/2005,218.43
12/1/2005,218.84
1/1/2006,219.40
2/1/2006,220.36
3/1/2006,222.03
4/1/2006,223.44
5/1/2006,225.28
6/1/2006,225.99
7/1/2006,225.75
8/1/2006,226.25
9/1/2006,225.54
10/1/2006,225.17
11/1/2006,224.89
12/1/2006,224.03
1/1/2007,223.75
2/1/2007,224.48
3/1/2007,226.33
4/1/2007,227.46
5/1/2007,227.70
6/1/2007,227.72
7/1/2007,226.36
8/1/2007,225.20
9/1/2007,223.42
10/1/2007,221.12
11/1/2007,218.74
12/1/2007,216.51
1/1/2008,213.54
2/1/2008,212.95
3/1/2008,211.79
4/1/2008,210.76
5/1/2008,209.86
6/1/2008,209.33
7/1/2008,207.22
8/1/2008,204.93
9/1/2008,202.35
10/1/2008,200.05
11/1/2008,195.78
12/1/2008,193.98
1/1/2009,194.77
2/1/2009,195.64
3/1/2009,193.81
4/1/2009,194.14
5/1/2009,195.30
6/1/2009,196.07
7/1/2009,195.36
8/1/2009,194.59
9/1/2009,193.58
10/1/2009,193.56
11/1/2009,193.31
12/1/2009,190.00
1/1/2010,189.16
2/1/2010,188.72
3/1/2010,189.32
4/1/2010,190.99
5/1/2010,192.79
6/1/2010,191.74
7/1/2010,190.31
8/1/2010,189.63
9/1/2010,187.00
10/1/2010,186.72
11/1/2010,185.40
12/1/2010,182.58
1/1/2011,180.71
2/1/2011,179.01
3/1/2011,178.14
4/1/2011,180.06
5/1/2011,181.36
6/1/2011,183.09
7/1/2011,183.41
8/1/2011,182.19
9/1/2011,182.34
10/1/2011,180.66
11/1/2011,180.99
12/1/2011,180.06
1/1/2012,178.34
2/1/2012,178.86
3/1/2012,181.47
4/1/2012,184.13
5/1/2012,187.19
6/1/2012,189.04
7/1/2012,189.46
8/1/2012,189.67
9/1/2012,189.40
10/1/2012,189.62
11/1/2012,190.02
12/1/2012,189.53
1/1/2013,189.73
2/1/2013,190.96
3/1/2013,194.47
4/1/2013,197.14
5/1/2013,200.75
6/1/2013,203.21
7/1/2013,204.30
8/1/2013,203.95
9/1/2013,203.82
10/1/2013,203.52
11/1/2013,203.05
12/1/2013,202.66
1/1/2014,202.31
2/1/2014,203.48
3/1/2014,206.02
4/1/2014,208.13
5/1/2014,210.43
6/1/2014,212.74
7/1/2014,213.50
8/1/2014,213.40
9/1/2014,212.46
10/1/2014,212.67
11/1/2014,212.88
12/1/2014,213.16
1/1/2015,212.04
2/1/2015,213.81
3/1/2015,216.65
4/1/2015,218.99
5/1/2015,222.22
6/1/2015,224.34
7/1/2015,225.16
8/1/2015,224.48
9/1/2015,224.91
10/1/2015,224.77
11/1/2015,225.41
12/1/2015,225.09
1/1/2016,225.05
2/1/2016,225.78
3/1/2016,229.80
4/1/2016,232.11
5/1/2016,235.13
6/1/2016,237.27
7/1/2016,238.48
8/1/2016,238.70
9/1/2016,239.09
10/1/2016,239.02
11/1/2016,239.86
12/1/2016,239.52
1/1/2017,238.56
2/1/2017,241.07
3/1/2017,244.95
4/1/2017,248.23
5/1/2017,251.25
6/1/2017,252.85
7/1/2017,254.16
8/1/2017,255.07
9/1/2017,255.19
10/1/2017,255.66
11/1/2017,256.26
12/1/2017,256.14
1/1/2018,256.68
2/1/2018,259.62
3/1/2018,262.78
4/1/2018,265.20
5/1/2018,268.44
6/1/2018,270.10
7/1/2018,270.99
8/1/2018,270.60